Source,Gen_comp
I prətɛntɪd@you there crying.,I prtntd@you are there crying.
And then play coming up.,And then play coming up.
Earlier i feel the morning.,Earlier i feel the morning.
Right now i am tired.,Right now i am tired.
And that glenburnie driving.,And that glenburnie driving.
I am it is okay.,I am okay.
But i am surviving.,But i am surviving.
Dad especially and mother comedian.,Dad especially and mother and mother comedian.
"Beach , i like the beach.","Beach, i like the beach."
"Mom dad , mom , firstnamel , firstnamem.","Mom dad, mom, firstnamel, firstnamem."
"Tuna fish , always tuna.","Tuna fish, always tuna."
She mom is.,She mom is.
"Dad , i like swimming.","Dad, i like swimming."
"Dad , me cold.","Dad, I am cold."
I like cold.,I like cold.
"And running , running.","And running, running."
I do not understand.,I do not understand.
Say ðɪt@you again.,Say t@you again.
"Clouds , little boy , ball.",A little boy is playing with a ball in the clouds.
I do not know what that means.,I do not know what that means.
Because he fell.,Because he fell.
Talking or something.,Talking or something.
Not it over.,Not it is not over.
Well i do not understand.,Well i do not understand.
And catch it i think.,And catch it i think.
Once upon a time.,Once upon a time.
"Woman , she was ənbrɛlɚ@you.","Woman, she was nbrl@you."
Because of something raining.,Because of something raining.
She is saying.,She is saying.
I do not know.,I do not know.
Oops because man she is [gcpro] not taking the brɛlɚ@you.,Oops because man she is not taking the brl@you.
I do not know.,I do not know.
But something backpack.,But something in the backpack.
He is raining.,He is raining.
And very she is mad.,And very she is mad.
"And then shoe shoelaces , backpack , umbrella finally.","And then shoe shoelaces, backpack, umbrella finally."
Wait a minute.,Wait a minute.
But the ladder.,But the ladder.
She is man she is stuck.,She is a man she is stuck.
And then truck fireman is going to save him.,And then the truck fireman is going to save him.
Yes but i cannot remember.,Yes but i cannot remember.
What is this ?.,What is this?.
I do not know.,I do not know.
That is fine.,That is fine.
"Cinderella , she is home.","Cinderella, she is at home."
No it is okay.,No it is okay.
Wait a minute.,Wait a minute.
Wait a minute.,Wait a minute.
She is cinderella is nice person.,She is cinderella is a nice person.
I remember i think.,I remember i think.
Man prince he said to cinderella palace or something.,Man prince he said to cinderella palace or something.
She is going to the some maid.,She is going to the kitchen to get some maid.
But night time she is maid.,But at night time she is a maid.
"Three people , little things.","Three people, little things."
I do not know which.,I do not know which one.
I cannot remember.,I cannot remember.
Peanut butter and jelly.,Peanut butter and jelly.
And then close it.,And then close it.
And eat it.,And eat it.
Well yes good and then.,Well yes good and then.
Yes and no.,"No, it is not."
Work and then.,Work and then.
My tɛd@you hard.,My td@you are hard.
My and then va.,My and then va.
"And then run , go on.","And then run, go on."
And then pʃɑzɪdʊl@you.,And then pzdl@you.
And then ʃoʊk@you.,And then ok@you.
I just caulking ɡɔɡɪŋ@you.,I just caulked @you.
I am the.,I am the one.
I am my feet good though.,I am not on my feet good though.
The dogs and good though.,The dogs and good though.
I could still.,I could still do it.
Thank the jɔrd@you there.,Thank the jrd@you are there.
Oʊgeɪ@you now sales.,Oge@you now has sales.
Well one year joʊ@you.,Well one year jo@you.
"And then writing , and math.","And then writing, and math."
Me still okay.,Me still okay.
Now me tʃɝʃ@you.,Now me t@you.
And oh hey.,And oh hey.
"And then i look , talk.","And then i look, talk."
And then my mind good though.,And then my mind went good though.
And then and ʃoʊk@you.,And then and ok@you.
Oh man hard though.,Oh man hard though.
Man do it.,Man do it.
And i can do it.,And i can do it.
The kid throw ball.,The kid throws the ball.
"And ball , window bɪzɪz@you.","And ball, window bzz@you."
Oh hey !.,Oh hey!.
Gosh i am sorry.,Gosh i am sorry.
The mɛmɛ@you wife.,The mm@you are a wife.
"No , no i can do it.","No, no i can do it."
Oh look cmon get.,Oh look cmon get.
And then nothing though.,And then nothing though.
"The rain and then rain , rain.","The rain and then rain, rain."
Okay well nah.,Okay well nah.
The tʃɪtsɪz@you ?.,The ttsz@you?.
Faɪvɚpɛn@you is help the dog.,Favpn@you is help the dog.
And fire vision.,And fire vision.
Okay up window man.,Okay up the window man.
And then the chat is.,And then the chat is.
Okay empty down.,Okay empty down.
I cannot do it.,I cannot do it.
And work at everything.,And work at everything.
And then fɪzɪz@you tʃɪzɪz@you two.,And then fzz@you tzz@you two.
Wɔbɪŋ@you the rang.,Wb@you the rang.
And then okay the letter.,And then okay the letter.
And then den a ap ah kɔlɪ@you.,And then den a ap ah kl@you.
Imean and then eheh.,I mean and then eheh.
I cannot know.,I cannot know.
Ohman oh i can do it.,Ohman oh i can do it.
Oh a girl.,Oh a girl.
And then running ɝweɪ@you.,And then running we@you.
And then oh ohman good though good.,And then oh ohman good though good.
I could no.,I could not no.
That one two.,That one is two.
"No , no.","No, no."
"What , what ?.","What, what?"
"Okay , okay.","Okay, okay."
The pus on the fence.,The pus on the fence.
"No , no.","No, no."
"No , no.","No, no."
Now though oh.,Now though oh.
Okay good alright hey.,Okay good alright hey.
And then byebye.,And then byebye.
And then oh bread.,And then oh bread.
And then pɛnsə@you.,And then pns@you.
That is alright.,That is all right.
No good but still lessons.,No good but still lessons.
It is n@you.,It is n@you.
I don know.,I don't know.
What is this and what is that s ?.,What is this and what is that s?
Can't say it but i can say it.,Can't say it but i can say it.
Don@si dumdedum@si dumdumdedum@si.,Don@si dumdedum@si dumdumdedum@si.
Ah yeah this.,Ah yeah this.
This is this.,This is this.
Was is this.,Was is this.
This is this boom.,This is the boom.
This is one.,This is one.
I had a skwok@you and two.,I had a skwok@you and two.
I had a skɹot@you on march december yes.,I had a skot@you on march december yes.
Okay and no.,Okay and no.
Yes i had a stroke and i wɪmɛmbə˞d@you but is better.,Yes i had a stroke and i wmmbd@you but is better.
And i had a sɛbjuɛɹɪ@you.,And i had a sbju@you.
And i went through the hospital and mosescones.,And i went through the hospital and mosescones.
And hi worked alot.,And he worked a lot.
And fɑɪndlɪ@you it is hard yes hard.,And fndl@you it is hard yes hard.
But i will səbæɪv@you.,But i will sbv@you.
Firstnamek yes was a buddy.,Firstnamek yes was a buddy.
I went to church.,I went to church.
And no fi have yes kəmunɪkeɾɪŋ@you words mhm.,And no fi have yes kmunke@you words mhm.
How old@you ʃud@you yes.,How old are you ud@you yes.
Yes wndɪn@you yes wndəm@you yes.,wndn@you yes wndm@you yes.
Well wndɪn@you and is beautiful.,Well wndn@you and is beautiful.
And btʃ@you kæpəl@you is marvelous oh marvelous.,And bt@you kpl@you is marvelous oh marvelous.
And ɪs@you okay but it is beautiful mhm.,And s@you okay but it is beautiful mhm.
Ɪs@you okay yes.,s@you okay yes.
Prɪt@you wits wɪndə.,Prt@you wits wnd.
And tsɔs@you yes.,And tss@you yes.
Oh not good.,Oh no not good.
Yes well ladder ?.,Yes well ladder?.
And frost yes.,And frost yes.
But bjo@you shoes sweet.,But bjo@you shoes sweet.
And yes but fine words.,And yes but fine words.
But dʒɛs@you yes.,But ds@you yes.
And be better.,And be better.
Sɪnəɹɛlə@you yes but swɪndəɹɛlə@you kind@you and yes.,Snl@you yes but swndl@you kind@you and yes
